"No.","Time","Source","Destination","Protocol","Length","Info"
"170","5.485669008","124.124.252.50","10.10.10.140","TCP","76","[TCP Out-Of-Order] 80  >  56152 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM=1 TSval=61712421 TSecr=2823455938 WS=128"
"171","5.485704514","10.10.10.140","124.124.252.50","TCP","68","[TCP Dup ACK 158#1] 56152  >  80 [ACK] Seq=1 Ack=1 Win=29312 Len=0 TSval=2823458958 TSecr=61711389"
"172","5.521146117","fe80::1a0f:76ff:fe8d:1fb6","fe80::c662:d135:7792:5180","ICMPv6","144","Time Exceeded (hop limit exceeded in transit)"
"173","5.695102127","124.124.252.50","10.10.10.140","TCP","68","80  >  56148 [ACK] Seq=1 Ack=294 Win=30080 Len=0 TSval=61712765 TSecr=2823457313"
"174","5.695126597","124.124.252.50","10.10.10.140","HTTP","452","HTTP/1.1 200 OK  (text/plain)"
"175","5.695139176","10.10.10.140","124.124.252.50","TCP","68","56148  >  80 [ACK] Seq=294 Ack=385 Win=30336 Len=0 TSval=2823459167 TSecr=61712766"
"176","5.699337518","10.10.10.1","10.10.10.140","DNS","250","Standard query response 0xbd95 A detectportal.firefox.com CNAME detectportal.prod.mozaws.net CNAME detectportal.firefox.com-v2.edgesuite.net CNAME a1089.dscd.akamai.net A 124.124.252.98 A 124.124.252.50"
"177","5.699359119","10.10.10.1","10.10.10.140","DNS","274","Standard query response 0x2e69 AAAA detectportal.firefox.com CNAME detectportal.prod.mozaws.net CNAME detectportal.firefox.com-v2.edgesuite.net CNAME a1089.dscd.akamai.net AAAA 2001:4528:401::7c7c:fc32 AAAA 2001:4528:401::7c7c:fc62"
"178","5.699363091","10.10.10.1","10.10.10.140","DNS","73","Standard query response 0xb6c5 AAAA mozilla.org"
"179","5.699371771","10.10.10.1","10.10.10.140","DNS","274","Standard query response 0x05ff A mozilla.org A 63.245.208.195 NS ns4-64.akam.net NS ns1-240.akam.net NS ns7-66.akam.net NS ns5-65.akam.net A 84.53.139.64 A 184.85.248.65 A 96.7.49.66 A 193.108.91.240 AAAA 2600:1401:2::f0"
"180","5.711647494","fe80::1a0f:76ff:fe8d:1fb6","fe80::c662:d135:7792:5180","ICMPv6","144","Time Exceeded (hop limit exceeded in transit)"
"181","5.833223006","10.10.15.16","224.0.0.252","LLMNR","77","Standard query 0x4d4f ANY ADMINRG-SL7NR70"
"182","5.939627474","fe80::c662:d135:7792:5180","2001:4528:401::7c7c:fc32","TCP","96","[TCP Retransmission] 50282  >  80 [SYN] Seq=0 Win=28800 Len=0 MSS=1440 SACK_PERM=1 TSval=386369263 TSecr=0 WS=128"
"183","6.038790187","10.10.15.16","224.0.0.251","MDNS","121","Standard query response 0x0000 AAAA fe80::8d7f:fb22:b645:cb76 A 10.10.15.16"
"184","6.039617883","Guangdon_ac:43:30","","ARP","44","Who has 10.10.15.239? Tell 10.10.12.165"
"185","6.041135137","fe80::8d51:9117:c47:c603","ff02::1:3","ICMPv6","88","Multicast Listener Report"
"186","6.044584133","10.10.13.173","10.10.15.255","NBNS","94","Name query NB WATCHDOGS2<1c>"
"187","6.051524647","10.10.15.16","10.10.15.255","NBNS","112","Registration NB ADMINRG-SL7NR70<20>"
"188","6.052854144","10.10.15.16","10.10.15.255","NBNS","112","Registration NB ADMINRG-SL7NR70<00>"
"189","6.054127349","10.10.15.16","10.10.15.255","NBNS","112","Registration NB WORKGROUP<00>"
"190","6.054984263","Cisco_84:da:09","","DTP","62","Dynamic Trunk Protocol"
"191","6.056813923","fe80::9c25:e050:14f:ff3","ff02::1:3","ICMPv6","88","Multicast Listener Report"
"192","6.058561139","fe80::d87c:52bb:1eb7:1929","ff02::1:ffb7:1929","ICMPv6","88","Multicast Listener Report"
"193","6.059665291","fe80::13e:4d12:f476:a733","ff02::fb","ICMPv6","88","Multicast Listener Report"
"194","6.061078739","fe80::f7c8:e502:c7e8:28d3","ff02::16","ICMPv6","112","Multicast Listener Report Message v2"
"195","6.062186836","fe80::13e:4d12:f476:a733","ff02::1:3","ICMPv6","88","Multicast Listener Report"
"196","6.063241636","fe80::726d:ecff:fe02:f7","ff02::2","ICMPv6","88","Multicast Listener Report"
"197","6.064131562","Cisco_84:da:09","","STP","62","Conf. Root = 0/0/00:07:4f:12:34:c0  Cost = 38  Port = 0x8009"
"198","6.065252488","fe80::8451:e6a4:9556:6bb7","ff02::1:ff56:6bb7","ICMPv6","88","Multicast Listener Report"
"199","6.066311529","fe80::7a45:c4ff:fe27:7fc3","ff02::1:ff27:7fc3","ICMPv6","88","Multicast Listener Report"
"200","6.067707242","fe80::b9a6:97b2:d8ee:23c0","ff02::1:ffee:23c0","ICMPv6","88","Multicast Listener Report"
"201","6.072181640","fe80::e2e0:e56d:4395:d5fc","ff02::1:ff95:d5fc","ICMPv6","88","Multicast Listener Report"
"202","6.073732983","fe80::e2e0:e56d:4395:d5fc","ff02::fb","ICMPv6","88","Multicast Listener Report"
"203","6.074845461","fe80::ea17:ab8b:bb91:8b48","ff02::1:ff91:8b48","ICMPv6","88","Multicast Listener Report"
